,title,Location,Job Family,Job Class,Posting Start,Posting End,Details,MINIMUM SALARY,DAILY RATE RANGE,Salary,HOURLY RATE RANGE,SALARY RANGE
134,ASSISTANT SOFTBALL COACH / EXTRA / CENTRAL HIGH SCHOOL,CENTRAL HIGH,CLASSIFIED,ATH COACH SOFTBALL ASSISTANT,08/09/2023,11/29/2023,,,,,,
135,EDUC ASSIST SATL SP 23/24SY,KNOXVILLE ADAPTIVE ED CENTER,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,08/09/2023,09/30/2023,JOB DESCRIPTION,"$26,439.00",,,,
136,TCHR 1ST GRADE SUPPLY 10/30/23 THROUGH 2/13/24,NORWOOD ELEMENTARY,CERTIFIED,TEACHER 1ST GRADE,08/11/2023,09/30/2023,JOB DESCRIPTION,,"$36,100.00-$36,100.00",,,
137,EDUC ASSIST SPED HS 23/24SY,AUSTIN EAST HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,08/14/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
138,TCHR MATH HS 23/24SY,FULTON HIGH,CERTIFIED,TEACHER HS MATHEMATICS,08/15/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
139,EDUC ASSIST CDC ES 23/24SY,SPRING HILL,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,08/15/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
140,CLUB SPORT / DANCE COACH / AUSTIN EAST HIGH SCHOOL,AUSTIN EAST HIGH,CLASSIFIED,ATH COACH CLUB SPORTS,08/15/2023,11/29/2023,,,,,,
141,CLUB SPORT / DANCE COACH / AUSTIN EAST HIGH SCHOOL,AUSTIN EAST HIGH,CLASSIFIED,ATH COACH CLUB SPORTS,08/15/2023,11/29/2023,,,,,,
142,EDUC ASSIST CDC-A HS 23/24SY,CENTRAL HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,08/17/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
143,TCHR PRESCHOOL TITLE SUPPLY THROUGH 11/1/23,FAIR GARDEN,CERTIFIED,TEACHER PRE-K,08/21/2023,11/01/2023,JOB DESCRIPTION,,"$36,100.00-$36,100.00",,,
144,EDUC ASSIST PK 23/24SY,FORT SANDERS EDU DEVELOP CENT,CLASSIFIED,EDUCATIONAL ASSISTANT PK,08/21/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
145,TCHR ACADEMIC INT MS 23/24SY,WHITTLE SPRINGS MIDDLE,CERTIFIED,TEACHER INTERVENTION,08/21/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
146,EDUC ASSIST ES 23/24SY,GIBBS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,08/21/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
147,EDUC ASSIST RESRC HS 23/24SY,KARNS HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT HS,08/21/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
148,EDUC ASSIST CDC-A HS 23/24SY,AUSTIN EAST HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,08/23/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
149,TCHR SPED ES 23/24SY,BRICKEY-MCCLOUD ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,08/23/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
150,EDUC ASSIST CDC HS 23/24SY,AUSTIN EAST HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,08/23/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
151,TCHR 4TH GRADE SUPPLY 11/8/23 THROUGH 2/2/24,PLEASANT RIDGE ELEMENTARY,CERTIFIED,TEACHER 4TH GRADE,08/23/2023,12/20/2023,JOB DESCRIPTION,,"$36,100.00-$36,100.00",,,
152,ASSISTANT BASEBALL COACH / EXTRA / FULTON HIGH SCHOOL,FULTON HIGH,CLASSIFIED,ATH COACH BASEBALL ASSISTANT,08/23/2023,11/29/2023,,,,,,
153,TCHR KINDERGARTEN SUPPLY 11/17/23 THROUGH 3/18/24,KARNS ELEMENTARY,CERTIFIED,TEACHER KINDERGARTEN,08/23/2023,09/30/2023,JOB DESCRIPTION,,"$36,100.00-$36,100.00",,,
154,TCHR SPED PRE-SCHOOL 23/24SY,COPPER RIDGE ELEMENTARY,CERTIFIED,TEACHER PRE-K SPED,08/23/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
155,ASSISTANT SOFTBALL COACH / EXTRA / BEARDEN HIGH SCHOOL,BEARDEN HIGH,CLASSIFIED,ATH COACH SOFTBALL ASSISTANT,08/24/2023,11/29/2023,,,,,,
156,EDUC ASSIST SPED ES 23/24SY,WEST HILLS ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,08/24/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
157,EDUC ASSIST CDC-A HS 23/24SY,CENTRAL HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,08/24/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
158,EDUC ASSIST SPED HS 23/24SY,BEARDEN HIGH,CLASSIFIED,EDUCATIONAL ASSISTANT SPED HS,08/24/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
159,EDUC ASSIST PK 23/24SY,FORT SANDERS EDU DEVELOP CENT,CLASSIFIED,EDUCATIONAL ASSISTANT PK,08/25/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
160,JV HEAD COACH BOYS BASKETBALL / WEST HIGH SCHOOL,WEST HIGH,CLASSIFIED,ATH COACH BASKETBALL B-TEAM,08/25/2023,11/29/2023,,,,,,
161,TCHR SPED MS 23/24SY,VINE MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,08/25/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
162,EDUC ASSIST ES 23/24SY,SEQUOYAH ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,08/29/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
163,ASSISTANT FOOTBALL COACH / EXTRA / FARRAGUT HIGH SCHOOL,FARRAGUT HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,08/29/2023,11/29/2023,,,,,,
164,TCHR SOC STUDIES HS INTERIM 1/3/24 THROUGH 5/24/24,FARRAGUT HIGH,CERTIFIED,TEACHER HS SOCIAL STUDIES,08/30/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
165,TCHR SPED ES SATL 23/24SY,NORTHSHORE ELEMENTARY,CERTIFIED,TEACHER ES SPECIAL ED,08/30/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
166,ASSISTANT BASEBALL COACH / EXTRA / HALLS HIGH SCHOOL,HALLS HIGH,CLASSIFIED,ATH COACH BASEBALL ASSISTANT,08/30/2023,11/29/2023,,,,,,
167,INSTRUCTOR ROTC 23/24SY,FULTON HIGH,CERTIFIED,TEACHER ROTC,08/30/2023,09/30/2023,JOB DESCRIPTION,"$40,000.00",,,,
168,EDUC ASSIST SPED ES 23/24SY,CEDAR BLUFF ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,08/30/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
169,GIRLS TRACK COACH / POWELL MIDDLE SCHOOL,POWELL MIDDLE,CLASSIFIED,ATH COACH TRACK MIDDLE SCHOOL,08/30/2023,11/29/2023,,,,,,
170,EDUC ASSIST SPED ES 23/24SY,FARRAGUT INTERMEDIATE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED ES,09/01/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
171,ASSISTANT BOYS BASKETBALL COACH / EXTRA / FARRAGUT MIDDLE SCHOOL,FARRAGUT MIDDLE,CLASSIFIED,ATH COACH BASKETBALL MIDDLE,09/05/2023,11/29/2023,,,,,,
172,ASSISTANT GIRLS SOFTBALL COACH / EXTRA / WEST HIGH SCHOOL,WEST HIGH,CLASSIFIED,ATH COACH SOFTBALL ASSISTANT,09/05/2023,11/29/2023,,,,,,
173,ASSISTANT GIRLS BASKETBALL COACH / EXTRA / HARDIN VALLEY MIDDLE SCHOOL,HARDIN VALLEY MIDDLE,CLASSIFIED,ATH COACH BASKETBALL MIDDLE,09/06/2023,11/29/2023,,,,,,
174,ASSISTANT CHEER COACH / EXTRA / HARDIN VALLEY MIDDLE SCHOOL,HARDIN VALLEY MIDDLE,CLASSIFIED,ATH COACH CHEERLEADER MIDDLE,09/06/2023,11/29/2023,,,,,,
175,TCHR SPECIAL EDUC 23/24SY,RICHARD YOAKLEY SCHOOL,CERTIFIED,TEACHER HS SPECIAL ED,09/06/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
176,EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,09/06/2023,09/30/2023,JOB DESCRIPTION,"$26,439.00",,,,
177,EDUC ASSIST KIND INT 23/24SY,WEST VIEW ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT ES,09/06/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
178,EDUC ASSIST SPED PK 23/24SY,BRICKEY-MCCLOUD ELEMENTARY,CLASSIFIED,EDUCATIONAL ASSISTANT SPED PK,09/06/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
